测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(ms),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比,RS编码耗时(ms),RS解码耗时(ms),SHA256哈希耗时(ms),哈希验证耗时(ms),编解码总耗时(ms),吞吐量(MB/s)
"测试1: 小文件广播(1KB) [n=13,t=4]",1024,13,4,5,1236,5530200,5533000,5530200,5400.5859,82602,80.6660,74.4609,0.054,.035,0.003,.001,.089,.0007
"测试2: 中等文件广播(100KB) [n=13,t=4]",102400,13,4,5,1818,13253550,13256420,13253550,129.4291,8253440,80.6000,74.4000,0.479,.548,0.045,.048,1.027,.0536
"测试3: 大文件广播(1MB) [n=13,t=4]",1048576,13,4,5,1725,83837592,83840392,83837592,79.9537,84515496,80.6002,74.4001,4.945,7.705,0.449,.453,12.650,.5797
"测试4: 文本文件广播 [n=13,t=4]",383893,13,4,5,1235,34201506,34204376,34201506,89.0912,30941911,80.6003,74.4002,1.619,2.293,0.163,.169,3.912,.2964
"测试5: 单节点故障容错(1MB) [n=13,t=4]",1048576,13,4,5,1862,68777818,68884156,68777818,65.5916,84515496,80.6002,74.4001,5.481,6.374,0.810,.473,11.855,.5370
"测试6: 4节点故障容错(100KB) [n=13,t=4,极限]",102400,13,4,5,1663,4177295,4267301,4177295,40.7938,8253440,80.6000,74.4000,1.268,.431,0.134,.043,1.699,.0586
"测试7: 超大文件分块广播(20MB) [n=13,t=4]",20971520,13,4,5,3583,1569000352,1569003362,1569000352,74.8157,1690304512,80.6000,74.4000,168.483,146.448,11.817,9.991,314.931,5.5819
"测试8: 超大文件分块广播(50MB) [n=13,t=4]",52428800,13,4,5,6078,3913473672,3913476612,3913473672,74.6435,4225761280,80.6000,74.4000,458.245,454.368,27.043,25.518,912.613,8.2263
"测试9: 恶意节点-篡改分片(100KB) [n=13,t=4]",102400,13,4,5,1677,13212366,13215096,13212366,129.0270,8253440,80.6000,74.4000,0.510,.525,0.044,.053,1.035,.0581
"测试10: 恶意节点-伪造哈希(100KB) [n=13,t=4]",102400,13,4,5,1745,13230875,13233745,13230875,129.2077,8253440,80.6000,74.4000,0.495,.517,0.045,.047,1.012,.0559
"测试11: 恶意节点-选择性沉默(100KB) [n=13,t=4]",102400,13,4,5,1169,12597792,12600802,12597792,123.0253,8253440,80.6000,74.4000,0.517,.549,0.044,.049,1.066,.0834
"测试12: 4个混合恶意节点(100KB) [n=13,t=4,BFT极限]",102400,13,4,5,1706,12717586,12720480,12717586,124.1951,8253440,80.6000,74.4000,0.512,.489,0.136,.044,1.001,.0572
"测试13: 4个混合恶意节点(50MB) [n=13,t=4,BFT极限]",52428800,13,4,5,6422,3661473801,3661476959,3661473801,69.8370,4225761280,80.6000,74.4000,391.467,366.605,26.858,25.181,758.072,7.7857
