测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(ms),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比,RS编码耗时(ms),RS解码耗时(ms),SHA256哈希耗时(ms),哈希验证耗时(ms),编解码总耗时(ms),吞吐量(MB/s)
"测试1: 小文件广播(1KB) [n=13,t=4]",1024,13,4,5,1761,5617056,5619856,5617056,5485.4062,82602,80.6660,74.4609,0.024,0.055,0.001,0.001,0.079,0.0005
"测试2: 中等文件广播(100KB) [n=13,t=4]",102400,13,4,5,1745,13231902,13234842,13231902,129.2177,8253440,80.6000,74.4000,0.507,0.776,0.044,0.048,1.283,0.0559
"测试3: 大文件广播(1MB) [n=13,t=4]",1048576,13,4,5,2008,83888683,83888222,83888683,80.0024,84515496,80.6002,74.4001,5.316,9.237,0.441,0.496,14.553,0.4980
"测试4: 文本文件广播 [n=13,t=4]",383893,13,4,5,1695,34254702,34257572,34254702,89.2298,30941911,80.6003,74.4002,1.635,2.659,0.162,0.184,4.294,0.2159
"测试5: 单节点故障容错(1MB) [n=13,t=4]",1048576,13,4,5,1642,69070623,69202831,69070623,65.8708,84515496,80.6002,74.4001,6.281,10.337,0.443,0.494,16.618,0.6090
"测试6: 4节点故障容错(100KB) [n=13,t=4,极限]",102400,13,4,5,1790,4175852,4261838,4175852,40.7798,8253440,80.6000,74.4000,0.467,0.374,0.045,0.045,0.841,0.0545
"测试7: 超大文件分块广播(20MB) [n=13,t=4]",20971520,13,4,5,3489,1569056078,1569058227,1569056078,74.8184,1690304512,80.6000,74.4000,162.476,173.427,10.170,10.121,335.903,5.7323
"测试8: 超大文件分块广播(50MB) [n=13,t=4]",52428800,13,4,5,8581,3913687160,3913687189,3913687160,74.6476,4225761280,80.6000,74.4000,483.182,469.366,34.573,28.556,952.548,5.8268
"测试9: 恶意节点-篡改分片(100KB) [n=13,t=4]",102400,13,4,5,1703,13238172,13241042,13238172,129.2790,8253440,80.6000,74.4000,0.514,10.053,0.044,0.045,10.567,0.0573
"测试10: 恶意节点-伪造哈希(100KB) [n=13,t=4]",102400,13,4,5,1693,13245828,13248628,13245828,129.3537,8253440,80.6000,74.4000,0.464,0.478,0.044,0.044,0.942,0.0576
"测试11: 恶意节点-选择性沉默(100KB) [n=13,t=4]",102400,13,4,5,1667,12728806,12731700,12728806,124.3047,8253440,80.6000,74.4000,0.590,0.600,0.045,0.048,1.190,0.0585
"测试12: 4个混合恶意节点(100KB) [n=13,t=4,BFT极限]",102400,13,4,5,1682,12689721,12692521,12689721,123.9230,8253440,80.6000,74.4000,0.440,90.471,0.044,0.048,90.911,0.0580
"测试13: 4个混合恶意节点(50MB) [n=13,t=4,BFT极限]",52428800,13,4,5,53348,3663474529,3663476222,3663474529,69.8752,4225761280,80.6000,74.4000,393.212,48629.051,29.469,25.029,49022.263,0.9372
,,,,,,,,,
