测试名称,文件大小(B),节点数,容错数t,数据分片数,端到端延迟(s),总发送TX(B),总接收RX(B),实际总发送(B),传输放大比(TX),理论总传输(B),理论放大比,修正理论放大比
"测试1: 小文件广播(1KB) [n=13,t=4]",1024,13,4,5,90,5540166,5543036,5540166,5410.3183,82602,80.6660,74.4609
"测试2: 中等文件广播(100KB) [n=13,t=4]",102400,13,4,5,90,13205700,13208570,13205700,128.9619,8253440,80.6000,74.4000
"测试3: 大文件广播(1MB) [n=13,t=4]",1048576,13,4,5,90,83766378,83769248,83766378,79.8858,84515496,80.6002,74.4001
"测试4: 文本文件广播 [n=13,t=4]",383893,13,4,5,90,34215234,34218034,34215234,89.1270,30941911,80.6003,74.4002
"测试5: 单节点故障容错(1MB) [n=13,t=4]",1048576,13,4,5,56,68791769,68920377,68791769,65.6049,84515496,80.6002,74.4001
"测试6: 4节点故障容错(100KB) [n=13,t=4,极限]",102400,13,4,5,25,4145184,4192980,4145184,40.4803,8253440,80.6000,74.4000
"测试7: 超大文件分块广播(20MB) [n=13,t=4]",20971520,13,4,5,90,1568942031,1568944901,1568942031,74.8129,1690304512,80.6000,74.4000
"测试8: 超大文件分块广播(50MB) [n=13,t=4]",52428800,13,4,5,95,3913583037,3913585837,3913583037,74.6456,4225761280,80.6000,74.4000
"测试9: 恶意节点-篡改分片(100KB) [n=13,t=4]",102400,13,4,5,90,13145442,13148172,13145442,128.3734,8253440,80.6000,74.4000
"测试10: 恶意节点-伪造哈希(100KB) [n=13,t=4]",102400,13,4,5,90,13161612,13164412,13161612,128.5313,8253440,80.6000,74.4000
"测试11: 恶意节点-选择性沉默(100KB) [n=13,t=4]",102400,13,4,5,90,12636138,12638938,12636138,123.3997,8253440,80.6000,74.4000
"测试12: 4个混合恶意节点(100KB) [n=13,t=4,BFT极限]",102400,13,4,5,90,12662274,12665144,12662274,123.6550,8253440,80.6000,74.4000
